ID #,Location,Name,Type,Latitude,Longitude,Alt (m),Open,Close,Notes
657,"New Boston, NH",BossA,Trp,42.945986,-71.629423,199,,,SGLS-60 3607
623,"New Boston, NH",BossB,Trp,42.944755,-71.630325,193.3,,,SGLS-46 3603
649,"VAFB, CA",CookA,Trp,34.822614,-120.501857,268.7,,,SGLS-60 3107
620,"VAFB, CA",CookB,Trp,34.825639,-120.505408,267.4,,,SGLS-46 3103
660,Guam,GuamA,Trp,13.615192,144.856049,216,,,SGLS-60 3707
625,Guam,GuamB,Trp,13.615874,144.85543,209.4,,,SGLS-46 3703
654,"Kaena Point, HI",HulaA,Trp,21.562281,-158.242121,429.7,,,SGLS-60 3507
622,"Kaena Point, HI",HulaB,Trp,21.56898,-158.262308,319,,,SGLS-46 3503
626,"Oakhanger, UK",LionA,Trp,51.115097,-0.90611,143.9,,,SGLS-60 3407
629,"Oakhanger, UK",LionB,Trp,51.117873,-0.906446,142.9,,,ARTS-51 3405
633,"Colorado Springs, CO",PikeA,Trp,38.805938,-104.528484,1909.7,,,ARTS-51 3305
624,"Thule, Greenland",PogoA,Trp,76.515191,-68.595725,148,,,SGLS-14 3907
628,"Thule, Greenland",PogoB,Trp,76.515362,-68.598864,147.4,,,SGLS-46 3903
634,"Thule, Greenland",PogoC,Trp,76.515701,-68.605081,144.8,,,ARTS-51 3905
637,Diego Garcia,ReefA,Trp,-7.270031,72.369998,-58.5,,,transp-23 4105
